"date","close","volume","open","high","low"
"2017/02/23","0.2546","1000.0000","0.2546","0.2546","0.2546"
"2017/02/22","0.2595","0.0000","0.2595","0.2595","0.2595"
"2017/02/21","0.2595","3000.0000","0.2660","0.2660","0.2595"
"2017/02/17","0.2520","111000.0000","0.2440","0.2520","0.2440"
"2017/02/16","0.2448","0.0000","0.2448","0.2448","0.2448"
"2017/02/15","0.2448","0.0000","0.2448","0.2448","0.2448"
"2017/02/14","0.2448","2500.0000","0.2448","0.2448","0.2448"
"2017/02/13","0.2360","0.0000","0.2360","0.2360","0.2360"
"2017/02/10","0.2360","1226.0000","0.2350","0.2360","0.2350"
"2017/02/09","0.2350","0.0000","0.2350","0.2350","0.2350"
"2017/02/08","0.2350","0.0000","0.2350","0.2350","0.2350"
"2017/02/07","0.2350","0.0000","0.2350","0.2350","0.2350"
"2017/02/06","0.2350","0.0000","0.2350","0.2350","0.2350"
"2017/02/03","0.2350","7932.0000","0.2350","0.2350","0.2350"
"2017/02/02","0.2436","3500.0000","0.2436","0.2436","0.2436"
"2017/02/01","0.2320","0.0000","0.2320","0.2320","0.2320"
"2017/01/31","0.2320","2500.0000","0.2320","0.2320","0.2320"
"2017/01/30","0.2350","18977.0000","0.2440","0.2440","0.2310"
"2017/01/27","0.2587","4000.0000","0.2587","0.2587","0.2587"
"2017/01/26","0.2756","11476.0000","0.2788","0.2788","0.2756"
"2017/01/25","0.2692","2201.0000","0.2692","0.2692","0.2692"
"2017/01/24","0.2630","4402.0000","0.2602","0.2630","0.2602"
"2017/01/23","0.2430","4500.0000","0.2520","0.2532","0.2420"
"2017/01/20","0.2444","0.0000","0.2444","0.2444","0.2444"
"2017/01/19","0.2444","0.0000","0.2444","0.2444","0.2444"
"2017/01/18","0.2444","0.0000","0.2444","0.2444","0.2444"
"2017/01/17","0.2444","10170.0000","0.2618","0.2618","0.2444"
"2017/01/13","0.2800","0.0000","0.2800","0.2800","0.2800"
"2017/01/12","0.2800","9000.0000","0.2790","0.2800","0.2750"
"2017/01/11","0.2800","16311.0000","0.2800","0.2800","0.2800"
"2017/01/10","0.2750","0.0000","0.2750","0.2750","0.2750"
"2017/01/09","0.2750","15111.0000","0.2720","0.2750","0.2692"
"2017/01/06","0.2730","0.0000","0.2730","0.2730","0.2730"
"2017/01/05","0.2730","6150.0000","0.2730","0.2730","0.2730"
"2017/01/04","0.2752","9201.0000","0.2780","0.2780","0.2752"
"2017/01/03","0.2787","3668.0000","0.2720","0.2800","0.2720"
"2016/12/30","0.2514","1000.0000","0.2514","0.2514","0.2514"
"2016/12/29","0.2599","2000.0000","0.2450","0.2599","0.2450"
"2016/12/28","0.2640","4500.0000","0.2622","0.2640","0.2622"
"2016/12/27","0.2460","2606.0000","0.2460","0.2460","0.2460"
"2016/12/23","0.2350","223665.0000","0.2360","0.2360","0.2350"
"2016/12/22","0.2500","0.0000","0.2500","0.2500","0.2500"
"2016/12/21","0.2500","2844.0000","0.2480","0.2500","0.2480"
"2016/12/20","0.2400","2500.0000","0.2400","0.2400","0.2400"
"2016/12/19","0.2412","0.0000","0.2412","0.2412","0.2412"
"2016/12/16","0.2412","0.0000","0.2412","0.2412","0.2412"
"2016/12/15","0.2412","11400.0000","0.2340","0.2412","0.2340"
"2016/12/14","0.2656","0.0000","0.2656","0.2656","0.2656"
"2016/12/13","0.2656","0.0000","0.2656","0.2656","0.2656"
"2016/12/12","0.2656","2100.0000","0.2680","0.2680","0.2656"
"2016/12/09","0.2710","322.0000","0.2700","0.2710","0.2700"
"2016/12/08","0.2780","5000.0000","0.2780","0.2780","0.2780"
"2016/12/07","0.2860","9974.0000","0.2720","0.2900","0.2720"
"2016/12/06","0.2500","3000.0000","0.2500","0.2500","0.2500"
"2016/12/05","0.2320","5888.0000","0.2348","0.2348","0.2320"
"2016/12/02","0.2320","0.0000","0.2320","0.2320","0.2320"
"2016/12/01","0.2320","10000.0000","0.2380","0.2400","0.2320"
"2016/11/30","0.2310","13248.0000","0.2350","0.2499","0.2310"
"2016/11/29","0.2120","45066.0000","0.2272","0.2272","0.2120"
"2016/11/28","0.2474","0.0000","0.2474","0.2474","0.2474"
"2016/11/25","0.2474","0.0000","0.2474","0.2474","0.2474"
"2016/11/23","0.2474","53700.0000","0.2500","0.2500","0.2474"
"2016/11/22","0.2290","0.0000","0.2290","0.2290","0.2290"
"2016/11/21","0.2290","22500.0000","0.2300","0.2300","0.2225"
"2016/11/18","0.2300","100.0000","0.2300","0.2300","0.2300"
"2016/11/17","0.2156","20752.0000","0.2095","0.2164","0.2070"
"2016/11/16","0.1981","553.0000","0.1981","0.1981","0.1981"
"2016/11/15","0.1970","12200.0000","0.1970","0.1970","0.1956"
"2016/11/14","0.2000","12000.0000","0.1980","0.2000","0.1980"
"2016/11/11","0.2110","11591.0000","0.1950","0.2110","0.1950"
"2016/11/10","0.2030","400000.0000","0.2030","0.2030","0.2030"
"2016/11/09","0.1980","2245.0000","0.2060","0.2060","0.1980"
"2016/11/08","0.2060","1000.0000","0.2060","0.2060","0.2060"
"2016/11/07","0.2052","40801.0000","0.1950","0.2052","0.1950"
"2016/11/04","0.2004","7500.0000","0.2004","0.2004","0.2004"
"2016/11/03","0.1950","13579.0000","0.2040","0.2040","0.1950"
"2016/11/02","0.2032","5000.0000","0.2032","0.2032","0.2032"
"2016/11/01","0.2012","6500.0000","0.2012","0.2012","0.2012"
"2016/10/31","0.2080","17898.0000","0.1970","0.2080","0.1970"
"2016/10/28","0.2000","0.0000","0.2000","0.2000","0.2000"
"2016/10/27","0.2000","0.0000","0.2000","0.2000","0.2000"
"2016/10/26","0.2000","5160.0000","0.2016","0.2021","0.2000"
"2016/10/25","0.2062","11000.0000","0.2090","0.2090","0.2062"
"2016/10/24","0.2130","250.0000","0.2130","0.2130","0.2130"
